US_Commercial Nuclear Power Reactors - Operating Reactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,License Number,Location,NRC Region,Licensee,Parent Company Utility Name,Parent Company Website,Parent Company Notes,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,"2018 Capacity Factor
(Percent)","2017 Capacity Factor
(Percent)","2016 Capacity Factor
(Percent)",2015 Capacity Factor (Percent),2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),Years of Operation through 12/31/2019
"Catawba Nuclear Station, Unit 2",Catawba 2,5000414,NPF-52,"York, SC (18 MI S of Charlotte, NC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,8/7/75,5/15/86,8/19/86,12/5/03,12/5/43,3469,,91%,96%,88%,86%,100%,86%,92%,101%,92%,90%,103%,33
"Clinton Power Station, Unit 1",Clinton,5000461,NPF-62,"Clinton, IL (23 MI SSE of Bloomington, IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 3,GE 6,S&L,BALD,2/24/76,4/17/87,11/24/87,N/A,9/29/26,3473,,88%,84%,89%,87%,97%,82%,100%,93%,92%,97%,99%,32
Columbia Generating Station,Columbia Generating Station,5000397,NPF-21,"Richland, WA (20 MI NNE of Pasco, WA)",4,Energy Northwest,Energy Northwest,www.energy-northwest.com,,BWR-MARK 2,GE 5,B&R,BECH,3/19/73,4/13/84,12/13/84,5/22/12,12/20/43,3544,,96%,77%,92%,78%,98%,80%,97%,50%,95%,67%,93%,35
"Comanche Peak Nuclear Power Plant, Unit 1",Comanche Peak 1,5000445,NPF-87,"Glen Rose, TX (40 MI SW of Fort Worth, TX)",4,"Comanche Peak Power Company LLC – Owner
Vistra Operations Company LLC – Operator",Vistra Energy Corp.,www.vistraenergy.com/,Member of the Utilities Services Alliance,PWR-DRYAMB,WEST 4LP,G&H,BRRT,12/19/74,4/17/90,8/13/90,N/A,2/8/30,3612,,100%,91%,92%,100%,85%,94%,98%,91%,91%,100%,96%,29
"Comanche Peak Nuclear Power Plant, Unit 2",Comanche Peak 2,5000446,NPF-89,"Glen Rose, TX (40 MI SW of Fort Worth, TX)",4,"Comanche Peak Power Company LLC – Owner
Vistra Operations Company LLC – Operator",Vistra Energy Corp.,www.vistraenergy.com/,Member of the Utilities Services Alliance,PWR-DRYAMB,WEST 4LP,BECH,BRRT,12/19/74,4/6/93,8/3/93,N/A,2/2/33,3612,,93%,68%,100%,88%,93%,99%,91%,92%,104%,94%,95%,26
Cooper Nuclear Station ,Cooper,5000298,DPR-46,"Brownville, NE (23 MI S of Nebraska City,  NE)",4,Nebraska Public Power District,Nebraska Public Power District, www.nppd.com,,BWR-MARK 1,GE 4,B&R,B&R,6/4/68,1/18/74,7/1/74,11/29/10,1/18/34,2419,,81%,99%,84%,97%,88%,97%,87%,86%,100%,72%,90%,45
"Davis-Besse Nuclear Power Station, Unit 1",Davis-Besse,5000346,NPF-3,"Oak Harbor, OH (21 MI ESE of Toledo,  OH)",3,FirstEnergy Nuclear Operating Co.,FirstEnergy Nuclear Operating Company,www.firstenergycorp.com,,PWR-DRYAMB,B&W RLP,BECH,B&W,3/24/71,4/22/77,7/31/78,12/8/15,4/22/37,2817,,93%,97%,79%,97%,74%,95%,91%,81%,66%,99%,97%,42
"Diablo Canyon Nuclear Power Plant, Unit 1",Diablo Canyon 1,5000275,DPR-80,"Avila Beach, CA (12 MI WSW of San Luis Obispo,  CA)",4,Pacific Gas & Electric Co.,Pacific Gas & Electric Company,www.pge.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,4/23/68,11/2/84,5/7/85,Application Withdrawn,11/2/24,3411,,98%,81%,98%,87%,87%,95%,84%,100%,88%,84%,98%,35
"Diablo Canyon Nuclear Power Plant, Unit 2",Diablo Canyon 2,5000323,DPR-82,"Avila Beach, CA (12 MI WSW of San Luis Obispo,  CA)",4,Pacific Gas & Electric Co.,Pacific Gas & Electric Company,www.pge.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,12/9/70,8/26/85,3/13/86,Application Withdrawn,8/26/25,3411,,87%,95%,88%,95%,86%,82%,97%,89%,100%,84%,74%,34
"Donald C. Cook Nuclear Plant, Unit 1",D.C. Cook 1,5000315,DPR-58,"Bridgman, MI (13 M S of Benton Harbor, MI)",3,Indiana Michigan Power Co.,Indiana Michigan Power Company,www.indianamichiganpower.com,,PWR-ICECND,WEST 4LP,AEP,AEP,3/25/69,10/25/74,8/28/75,8/30/05,10/25/34,3304,,100%,72%,82%,78%,94%,78%,104%,87%,88%,3%,64%,45
"Donald C. Cook Nuclear Plant, Unit 2",D.C. Cook 2 ,5000316,DPR-74,"Bridgman, MI (13 M S of Benton Harbor, MI)",3,Indiana Michigan Power Co.,Indiana Michigan Power Company,www.indianamichiganpower.com,,PWR-ICECND,WEST 4LP,AEP,AEP,3/25/69,12/23/77,7/1/78,8/30/05,12/23/37,3468,,79%,104%,71%,79%,101%,85%,91%,104%,84%,87%,101%,42
"Dresden Nuclear Power Station, Unit 2",Dresden 2,5000237,DPR-19,"Morris, IL (25 M SW of Joliet, IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,1/10/66,12/22/69,6/9/70,10/28/04,12/22/29,2957,"AEC issued a provisional OL on 12/22/1969, allowing commercial operations. The NRC issued a full-term OL on 02/20/1991.",99%,84%,91%,83%,98%,85%,104%,95%,102%,91%,98%,50
"Dresden Nuclear Power Station, Unit 3",Dresden 3,5000249,DPR-25,"Morris, IL (25 M SW of Joliet, IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,10/14/66,1/12/71,11/16/71,10/28/04,1/12/31,2957,,94%,91%,84%,89%,95%,89%,91%,99%,90%,97%,93%,48
Duane Arnold Energy Center,Duane Arnold,5000331,DPR-49,"Palo, IA (8 MI NW of Cedar Rapids,  IA)",3,"NextEra Duane Arnold, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,BWR-MARK 1,GE 4,BECH,BECH,6/22/70,2/22/74,2/1/75,12/16/10,2/21/34,1912,"In a letter dated January 18, 2019, NextEra Energy Duane Arnold, LLC. Certified their decision to permanently cease power operations at the Duane Arnold Energy Center (DAEC) in the fourth quarter of 2020.",93%,88%,79%,88%,79%,89%,83%,99%,89%,92%,103%,45
"Edwin I. Hatch Nuclear Plant, Unit 1",Hatch 1,5000321,DPR-57,"Baxley , GA (20 MI S of Vidalia,  GA)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,BWR-MARK 1,GE 4,BECH,GPC,9/30/69,10/13/74,12/31/75,1/15/02,8/6/34,2804,,91%,97%,93%,101%,89%,94%,89%,98%,85%,94%,84%,45
"Edwin I. Hatch Nuclear Plant, Unit 2",Hatch 2,5000366,NPF-5,"Baxley , GA (20 MI S of Vidalia,  GA)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,BWR-MARK 1,GE 4,BECH,GPC,12/27/72,6/13/78,9/5/79,1/15/02,6/13/38,2804,,95%,95%,101%,91%,99%,89%,98%,78%,96%,67%,96%,41
"Fermi, Unit 2",Fermi 2,5000341,NPF-43,"Newport, MI (25 MI NE of Toledo,  OH)",3,DTE Electric Company,DTE Electric Company (DTE),www.dteenergy.com,,BWR-MARK 1,GE 4,S&L,DANI,9/26/72,3/20/85,1/23/88,12/15/16,3/20/45,3486,,75%,82%,86%,69%,82%,62%,54%,94%,80%,75%,98%,34
"Grand Gulf Nuclear Station, Unit 1",Grand Gulf 1,5000416,NPF-29,"Port Gibson, MS (20 MI S of Vicksburg,  MS)",4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,BWR-MARK 3,GE 6,BECH,BECH,9/4/74,11/1/84,7/1/85,12/1/16,11/1/44,4408,,57%,58%,47%,93%,82%,86%,70%,94%,88%,100%,86%,35
"H. B. Robinson Steam Electric Plant, Unit 2",Robinson 2,5000261,DPR-23,"Hartsville, SC (26 MI NW of Florence,  SC)",2,"Duke Energy Progress, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,WEST 3LP,EBSO,EBSO,4/13/67,7/31/70,3/7/71,4/19/04,7/31/30,2339,,79%,88%,95%,85%,86%,85%,85%,100%,57%,104%,87%,49
"Hope Creek Generating Station, Unit 1",Hope Creek 1,5000354,NPF-57,"Hancocks Bridge, NJ (18 MI SE of Wilmington,  DE)",1,"PSEG Nuclear, LLC","PSEG Nuclear, LLC",www.pseg.com,,BWR-MARK 1,GE 4,BECH,BECH,11/4/74,7/25/86,12/20/86,7/20/11,4/11/46,3902,,90%,94%,85%,83%,102%,80%,93%,103%,93%,95%,108%,33
"Indian Point Nuclear Generating, Unit 2",Indian Point 2,5000247,DPR-26,"Buchanan, NY (24 MI N of New York,  NY)",1,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,WEST 4LP,UE&C,WDCO,10/14/66,9/28/73,8/1/74,9/17/18,4/30/24,3216,,90%,73%,53%,77%,93%,77%,90%,98%,82%,98%,91%,46
"Indian Point Nuclear Generating, Unit 3",Indian Point 3,5000286,DPR-64,"Buchanan, NY (24 MI N of New York,  NY)",1,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,WEST 4LP,UE&C,WDCO,8/13/69,12/12/75,8/30/76,9/17/18,4/30/25,3216,,92%,78%,102%,86%,98%,94%,100%,90%,99%,85%,107%,44
James A. FitzPatrick Nuclear Power Plant,FitzPatrick,5000333,DPR-59,"Scriba, NY (6 MI NE of Oswego,  NY)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 4,S&W,S&W,5/20/70,10/17/74,7/28/75,9/8/08,10/17/34,2536,,89%,80%,76%,96%,79%,89%,84%,97%,85%,99%,89%,45
"Joseph M. Farley Nuclear Plant, Unit 1",Farley 1,5000348,NPF-2,"Columbia, AL (18 MI E of Dothan,  AL)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,PWR-DRYAMB,WEST 3LP,SSI,DANI,8/16/72,6/25/77,12/1/77,5/12/05,6/25/37,2775,,84%,100%,86%,86%,102%,90%,91%,101%,88%,90%,97%,42
"Joseph M. Farley Nuclear Plant, Unit 2",Farley 2,5000364,NPF-8,"Columbia, AL (18 MI E of Dothan,  AL)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,PWR-DRYAMB,WEST 3LP,SSI,BECH,8/16/72,3/31/81,7/30/81,5/12/05,3/31/41,2775,,99%,91%,90%,98%,89%,91%,104%,89%,88%,96%,90%,38
"LaSalle County Station, Unit  1",La Salle 1,5000373,NPF-11,"Marseilles, IL (11 MI SE of Ottawa,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 5,S&L,CWE,9/10/73,4/17/82,1/1/84,10/19/16,4/17/42,3546,,92%,96%,89%,99%,93%,95%,97%,101%,94%,99%,100%,37
"LaSalle County Station, Unit  2",La Salle 2,5000374,NPF-18,"Marseilles, IL (11 MI SE of Ottawa,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 5,S&L,CWE,9/10/73,12/16/83,10/19/84,10/19/16,12/16/43,3546,,98%,88%,95%,83%,95%,88%,103%,96%,101%,93%,94%,36
"Limerick Generating Station, Unit 1",Limerick 1,5000352,NPF-39,"Limerick, PA (21 MI NW of Philadelphia,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 4,BECH,BECH,6/19/74,8/8/85,2/1/86,10/20/14,10/26/44,3515,,92%,100%,93%,100%,91%,101%,85%,96%,91%,101%,95%,34
"Limerick Generating Station, Unit 2",Limerick 2,5000353,NPF-85,"Limerick, PA (21 MI NW of Philadelphia,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 4,BECH,BECH,6/19/74,8/25/89,1/8/90,10/20/14,6/22/49,3515,,99%,86%,101%,89%,99%,94%,95%,90%,99%,94%,101%,30
"McGuire Nuclear Station, Unit 1",McGuire 1,5000369,NPF-9,"Huntersville, NC (17 MI N of Charlotte,  NC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,2/23/73,5/27/81,12/1/81,12/5/03,3/3/41,3411,,100%,90%,89%,95%,82%,82%,105%,94%,92%,104%,87%,38
"McGuire Nuclear Station, Unit 2",McGuire 2,5000370,NPF-17,"Huntersville, NC (17 MI N of Charlotte,  NC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,2/23/73,5/27/83,3/1/84,12/5/03,3/3/43,3411,,92%,86%,97%,87%,94%,95%,82%,91%,104%,94%,90%,36
"Millstone Power Station, Unit 2",Millstone 2,5000336,DPR-65,"Waterford, CT (3.2 MI WSW of New London,  CT)",1,"Dominion Nuclear Conneticut, Inc.",Dominion Generation,www.dom.com,,PWR-DRYAMB,CE,BECH,BECH,12/11/70,9/26/75,12/26/75,11/28/05,7/31/35,2700,,82%,85%,93%,85%,85%,95%,83%,87%,97%,81%,86%,44
"Millstone Power Station, Unit 3",Millstone 3,5000423,NPF-49,"Waterford, CT (3.2 MI WSW of New London,  CT)",1,"Dominion Nuclear Conneticut, Inc.",Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 4LP,S&W,S&W,8/9/74,1/31/86,4/23/86,11/28/05,11/25/45,3650,,100%,89%,83%,97%,87%,87%,100%,87%,86%,105%,88%,33
"Monticello Nuclear Generating Plant, Unit 1",Monticello,5000263,DPR-22,"Monticello, MN (30 MI NW of Minneapolis,  MN)",3,Northern States Power Company - Minnesota,Northern States Power Company Minnesota doing business as Xcel Energy,www.xcelenergy.com,,BWR-MARK 1,GE 3,BECH,BECH,6/19/67,9/8/70,6/30/71,11/8/06,9/8/30,2004,"AEC issued a provisional OL on 09/08/1970, allowing commercial operation. The NRC issued a full-term OL on 01/09/1981.",99%,86%,93%,78%,78%,50%,101%,69%,94%,83%,97%,49
"Nine Mile Point Nuclear Station, Unit 1",Nine Mile Point 1,5000220,DPR-63,"Scriba, NY (6 MI NE of Oswego,  NY)",1,"Nine Mile Point Nuclear Station, LLC – Owner
Exelon Generation Company, LLC – Operator","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 2,NIAG,S&W,4/12/65,12/26/74,12/1/69,10/31/06,8/22/29,1850,"AEC issued a provisional OL on 08/22/1969, allowing commercial operation. The NRC issued a full-term OL on 12/26/1974.",99%,87%,96%,88%,98%,88%,87%,84%,97%,92%,98%,45
"Nine Mile Point Nuclear Station, Unit 2",Nine Mile Point 2,5000410,NPF-69,"Scriba, NY (6 MI NE of Oswego,  NY)",1,"Nine Mile Point Nuclear Station, LLC – Owner
Exelon Generation Company, LLC – Operator","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 5,S&W,S&W,6/24/74,7/2/87,3/11/88,10/31/06,10/31/46,3988,,90%,101%,92%,100%,87%,99%,83%,95%,89%,99%,90%,32
"North Anna Power Station, Unit 1",North Anna 1,5000338,NPF-4,"Mineral (Louisa County), VA (40 MI NW of Richmond,  VA)",2,Virginia Electric & Power Co.,Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 3LP,S&W,S&W,2/19/71,4/1/78,6/6/78,3/20/03,4/1/38,2940,,90%,99%,89%,91%,100%,89%,89%,78%,86%,92%,101%,41
"North Anna Power Station, Unit 2",North Anna 2,5000339,NPF-7,"Mineral (Louisa County), VA (40 MI NW of Richmond,  VA)",2,Virginia Electric & Power Co.,Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 3LP,S&W,S&W,2/19/71,8/21/80,12/14/80,3/20/03,8/21/40,2940,,99%,89%,87%,99%,92%,85%,99%,76%,100%,100%,82%,39
"Oconee Nuclear Station, Unit 1",Oconee 1,5000269,DPR-38,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/67,2/6/73,7/15/73,5/23/00,2/6/33,2568,,90%,95%,83%,96%,91%,91%,90%,79%,100%,85%,84%,46
"Oconee Nuclear Station, Unit 2",Oconee 2,5000270,DPR-47,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/67,10/6/73,9/9/74,5/23/00,10/6/33,2568,,100%,88%,98%,89%,101%,82%,102%,93%,91%,103%,86%,46
"Oconee Nuclear Station, Unit 3",Oconee 3,5000287,DPR-55,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/67,7/19/74,12/16/74,5/23/00,7/19/34,2568,,92%,97%,91%,97%,92%,97%,86%,103%,91%,94%,102%,45
Palisades Nuclear Plant,Palisades,5000255,DPR-20,"Covert, MI (5 MI S of South Haven,  MI)",3,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,CE,BECH,BECH,3/14/67,3/24/71,12/31/71,1/17/07,3/24/31,2565,"AEC issued a provisional OL on 03/24/1971, allowing commercial operation. The NRC issued a full-term OL on 02/21/1991.",77%,86%,99%,89%,86%,85%,74%,96%,92%,90%,99%,48
"Palo Verde Nuclear Generating Station, Unit 1",Palo Verde 1,5000528,NPF-41,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,Arizona Public Service Company,www.aps.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/76,6/1/85,1/28/86,4/21/11,6/1/45,3990,,97%,85%,83%,94%,90%,85%,100%,83%,81%,101%,86%,34
"Palo Verde Nuclear Generating Station, Unit 2",Palo Verde 2,0'5000529,NPF-51,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,Arizona Public Service Company,www.aps.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/76,4/24/86,9/19/86,4/21/11,4/24/46,3990,,82%,86%,95%,85%,90%,91%,90%,91%,101%,83%,74%,33
